Player,Season,Points,Field Goal %,Three Pointer %,Free Throw %,ORB,Turnovers
Andrei Kirilenko,2004,12,0.385,0.5,0.25,3,4
Andrei Kirilenko,2004,30,0.75,1,0.75,4,5
Andrei Kirilenko,2004,17,0.5,0.5,1,4,3
Andrei Kirilenko,2004,10,0.222,0.5,0.556,0,4
Andrei Kirilenko,2004,18,0.538,0.333,0.75,1,2
Andrei Kirilenko,2004,9,0.333,0.333,0.8,1,5
Andrei Kirilenko,2004,26,0.692,0.667,1,6,2
Andrei Kirilenko,2004,17,0.545,0.5,1,1,6
Andrei Kirilenko,2004,21,0.4,0.333,0.375,4,5
Andrei Kirilenko,2004,15,0.6,0.5,1,3,2
Andrei Kirilenko,2004,11,0.333,0,0.75,2,2
Andrei Kirilenko,2004,10,0.25,0,0.75,1,2
Andrei Kirilenko,2004,21,0.462,0,0.75,5,4
Andrei Kirilenko,2004,12,0.214,0,0.857,7,2
Andrei Kirilenko,2004,12,0.5,0.333,0.75,1,1
Andrei Kirilenko,2004,10,0.364,,0.667,3,3
Andrei Kirilenko,2004,26,0.5,0.667,1,3,1
Andrei Kirilenko,2004,27,0.538,0.5,0.688,0,2
Andrei Kirilenko,2004,,,,,,
Andrei Kirilenko,2004,,,,,,
Andrei Kirilenko,2004,,,,,,
Andrei Kirilenko,2004,,,,,,
Andrei Kirilenko,2004,,,,,,
Andrei Kirilenko,2004,13,0.333,0,0.778,2,1
Andrei Kirilenko,2004,23,0.615,0.75,0.8,4,3
Andrei Kirilenko,2004,21,0.6,0.75,0.75,3,2
Andrei Kirilenko,2004,13,0.455,0.75,,1,2
Andrei Kirilenko,2004,10,0.5,0.5,0.5,2,1
Andrei Kirilenko,2004,8,0.429,0,0.667,0,4
Andrei Kirilenko,2004,14,0.333,0.333,1,4,5
Andrei Kirilenko,2004,21,0.333,0.25,0.833,4,5
Andrei Kirilenko,2004,20,0.583,1,1,3,4
Andrei Kirilenko,2004,21,0.438,0.4,1,1,2
Andrei Kirilenko,2004,31,0.643,0.556,1,1,4
Andrei Kirilenko,2004,12,0.278,0.167,0.5,6,2
Andrei Kirilenko,2004,23,0.417,0.25,0.857,1,2
Andrei Kirilenko,2004,22,0.4,0.2,0.692,3,2
Andrei Kirilenko,2004,27,0.563,,0.9,8,4
Andrei Kirilenko,2004,24,0.6,0.25,0.714,4,2
Andrei Kirilenko,2004,24,0.412,0.333,0.75,6,2
Andrei Kirilenko,2004,,,,,,
Andrei Kirilenko,2004,11,0.444,0.5,1,3,6
Andrei Kirilenko,2004,19,0.5,0.25,0.667,5,6
Andrei Kirilenko,2004,10,0.105,0,0.75,4,0
Andrei Kirilenko,2004,15,0.308,0,0.778,3,4
Andrei Kirilenko,2004,20,0.727,1,0.6,2,2
Andrei Kirilenko,2004,10,0.273,0,0.667,4,3
Andrei Kirilenko,2004,3,0,0,0.75,2,2
Andrei Kirilenko,2004,20,0.455,0,1,2,3
Andrei Kirilenko,2004,21,0.625,0,1,3,5
Andrei Kirilenko,2004,18,0.357,0,1,5,3
Andrei Kirilenko,2004,19,0.5,0.5,0.667,2,2
Andrei Kirilenko,2004,16,0.333,0,1,4,1
Andrei Kirilenko,2004,13,0.417,0.333,0.4,3,3
Andrei Kirilenko,2004,7,0.2,0.25,1,4,4
Andrei Kirilenko,2004,8,0.5,,0.5,1,3
Andrei Kirilenko,2004,16,0.357,0,0.857,1,0
Andrei Kirilenko,2004,18,0.5,1,0.667,0,1
Andrei Kirilenko,2004,17,0.385,0.5,0.667,6,2
Andrei Kirilenko,2004,13,0.417,0,0.375,4,2
Andrei Kirilenko,2004,15,0.571,1,1,3,2
Andrei Kirilenko,2004,,,,,,
Andrei Kirilenko,2004,16,0.308,0.25,0.875,1,0
Andrei Kirilenko,2004,16,0.375,0,0.571,3,2
Andrew Wiggins,2022,12,0.5,0.4,,1,2
Andrew Wiggins,2022,17,0.4,0.5,1,3,2
Andrew Wiggins,2022,17,0.462,0.4,0.75,2,0
Andrew Wiggins,2022,21,0.529,0,0.6,1,2
Andrew Wiggins,2022,16,0.467,0.25,0.5,0,2
Andrew Wiggins,2022,14,0.385,0.8,,2,0
Andrew Wiggins,2022,14,0.333,0.333,1,1,1
Andrew Wiggins,2022,16,0.462,0.2,0.75,0,1
Andrew Wiggins,2022,16,0.364,0.167,0.875,1,3
Andrew Wiggins,2022,13,0.417,0.25,1,1,1
Andrew Wiggins,2022,35,0.737,0.5,1,1,4
Andrew Wiggins,2022,15,0.333,0,0.714,3,1
Andrew Wiggins,2022,28,0.632,0.429,0.333,0,0
Andrew Wiggins,2022,19,0.636,0.667,1,0,3
Andrew Wiggins,2022,12,0.455,0,1,0,3
Andrew Wiggins,2022,27,0.474,0.25,0.727,1,4
Andrew Wiggins,2022,32,0.6,0.75,1,2,2
Andrew Wiggins,2022,19,0.538,0.333,0.429,0,1
Andrew Wiggins,2022,25,0.625,0.6,1,2,1
Andrew Wiggins,2022,12,0.333,0.4,0.333,2,2
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,10,0.333,0,0.667,1,1
Andrew Wiggins,2022,19,0.5,0.429,,1,2
Andrew Wiggins,2022,11,0.333,0.667,0.75,2,1
Andrew Wiggins,2022,28,0.529,0.8,0.5,1,1
Andrew Wiggins,2022,14,0.444,0.4,1,1,0
Andrew Wiggins,2022,20,0.571,0.375,0.333,1,2
Andrew Wiggins,2022,15,0.467,0,1,2,2
Andrew Wiggins,2022,18,0.462,0.5,0.5,1,2
Andrew Wiggins,2022,27,0.55,0.714,,3,0
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,21,0.4,0.5,0.667,3,2
Andrew Wiggins,2022,25,0.474,0.667,0.429,0,3
Andrew Wiggins,2022,22,0.615,0.5,1,0,3
Andrew Wiggins,2022,17,0.538,0.4,0.25,2,0
Andrew Wiggins,2022,21,0.412,0.167,0.857,0,2
Andrew Wiggins,2022,10,0.333,0,1,0,0
Andrew Wiggins,2022,13,0.417,0.5,,0,4
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,16,0.545,0.4,1,0,2
