Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
De'Aaron Fox,2023,34,11,21,.524,0,2,.000,12,14,.857,0,2,2,9,0,0,3,4
De'Aaron Fox,2023,11,5,14,.357,1,7,.143,0,0,,1,1,2,9,0,0,2,1
De'Aaron Fox,2023,24,9,18,.500,2,4,.500,4,6,.667,1,1,2,9,0,1,1,0
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,24,9,14,.643,3,5,.600,3,3,1.000,2,3,5,5,0,1,5,1
De'Aaron Fox,2023,23,11,21,.524,1,4,.250,0,0,,0,1,1,3,0,0,1,3
De'Aaron Fox,2023,31,13,23,.565,2,7,.286,3,7,.429,0,3,3,6,0,1,2,0
De'Aaron Fox,2023,25,10,23,.435,2,6,.333,3,7,.429,0,4,4,2,0,0,1,3
De'Aaron Fox,2023,31,11,19,.579,0,2,.000,9,10,.900,0,4,4,9,0,2,1,2
De'Aaron Fox,2023,17,7,14,.500,1,3,.333,2,2,1.000,1,4,5,10,0,4,6,1
De'Aaron Fox,2023,16,7,12,.583,1,2,.500,1,1,1.000,1,3,4,8,0,0,4,4
De'Aaron Fox,2023,29,10,24,.417,1,7,.143,8,10,.800,0,3,3,6,0,2,0,5
De'Aaron Fox,2023,32,13,27,.481,2,4,.500,4,5,.800,0,5,5,4,1,2,2,2
De'Aaron Fox,2023,31,13,23,.565,2,4,.500,3,3,1.000,1,1,2,10,1,3,1,3
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,16,5,12,.417,0,1,.000,6,9,.667,1,3,4,8,1,2,4,3
De'Aaron Fox,2023,31,11,23,.478,0,3,.000,9,10,.900,1,4,5,11,0,2,3,2
De'Aaron Fox,2023,33,10,16,.625,1,5,.200,12,14,.857,0,6,6,5,1,0,3,4
De'Aaron Fox,2023,36,12,23,.522,0,4,.000,12,14,.857,1,3,4,5,0,2,4,0
De'Aaron Fox,2023,35,12,22,.545,4,7,.571,7,8,.875,2,2,4,4,0,1,5,3
De'Aaron Fox,2023,31,11,15,.733,2,4,.500,7,8,.875,0,3,3,3,0,1,4,1
De'Aaron Fox,2023,42,17,27,.630,2,4,.500,6,11,.545,0,5,5,12,0,5,3,3
De'Aaron Fox,2023,33,11,19,.579,3,9,.333,8,12,.667,1,2,3,8,0,2,2,3
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,33,12,22,.545,1,5,.200,8,8,1.000,3,4,7,7,0,1,2,3
De'Aaron Fox,2023,25,10,22,.455,0,2,.000,5,7,.714,0,2,2,7,0,1,3,3
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,23,9,16,.563,1,4,.250,4,7,.571,0,3,3,7,0,4,3,4
De'Aaron Fox,2023,18,8,22,.364,2,6,.333,0,2,.000,0,4,4,6,0,2,1,3
De'Aaron Fox,2023,35,13,23,.565,5,12,.417,4,6,.667,2,6,8,3,1,2,3,1
De'Aaron Fox,2023,32,12,17,.706,4,6,.667,4,5,.800,0,3,3,1,0,2,5,3
De'Aaron Fox,2023,18,5,16,.313,2,8,.250,6,10,.600,1,5,6,5,0,0,0,0
De'Aaron Fox,2023,12,6,12,.500,0,2,.000,0,3,.000,1,1,2,7,1,1,2,2
De'Aaron Fox,2023,37,14,21,.667,6,9,.667,3,4,.750,0,4,4,7,0,1,1,4
De'Aaron Fox,2023,18,6,11,.545,2,5,.400,4,5,.800,0,1,1,3,0,0,1,2
De'Aaron Fox,2023,19,7,15,.467,1,6,.167,4,4,1.000,1,0,1,2,1,0,2,3
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,29,10,20,.500,1,6,.167,8,10,.800,0,4,4,6,1,0,1,1
De'Aaron Fox,2023,18,7,14,.500,2,7,.286,2,2,1.000,0,3,3,6,0,2,2,1
De'Aaron Fox,2023,20,8,11,.727,1,3,.333,3,4,.750,1,7,8,11,0,2,2,3
De'Aaron Fox,2023,28,10,23,.435,0,8,.000,8,8,1.000,0,4,4,4,0,0,1,2
De'Aaron Fox,2023,23,10,23,.435,2,6,.333,1,2,.500,2,3,5,9,0,1,3,0
De'Aaron Fox,2023,28,10,26,.385,1,6,.167,7,7,1.000,2,3,5,8,1,1,1,2
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,,,,,,,,,,,,,,,,,,
De'Aaron Fox,2023,13,6,10,.600,1,3,.333,0,0,,1,1,2,3,0,0,1,0
DeAndre Jordan,2017,6,2,7,.286,0,0,,2,10,.200,7,5,12,0,1,0,1,5
DeAndre Jordan,2017,7,3,10,.300,0,0,,1,2,.500,6,10,16,0,1,0,1,1
DeAndre Jordan,2017,19,8,10,.800,0,0,,3,6,.500,3,8,11,2,2,1,1,5
DeAndre Jordan,2017,8,4,4,1.000,0,0,,0,3,.000,0,6,6,0,3,0,2,3
DeAndre Jordan,2017,6,3,8,.375,0,0,,0,0,,6,15,21,0,2,1,3,4
DeAndre Jordan,2017,8,4,8,.500,0,0,,0,0,,1,7,8,1,3,0,0,3
DeAndre Jordan,2017,8,4,5,.800,0,0,,0,0,,0,10,10,1,1,0,4,1
DeAndre Jordan,2017,16,6,9,.667,0,0,,4,8,.500,3,6,9,1,3,0,1,2
DeAndre Jordan,2017,12,3,5,.600,0,0,,6,12,.500,4,9,13,1,1,0,3,3
DeAndre Jordan,2017,18,4,6,.667,0,0,,10,16,.625,4,12,16,1,2,2,1,3
DeAndre Jordan,2017,7,3,6,.500,0,0,,1,2,.500,5,9,14,0,1,1,3,1
DeAndre Jordan,2017,8,4,5,.800,0,0,,0,2,.000,4,10,14,1,2,1,1,3
DeAndre Jordan,2017,16,8,10,.800,0,0,,0,0,,1,11,12,0,1,1,2,5
