Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Tyrese Haliburton,2023,,,,,,,,,,,,,,,,,,
Tyrese Haliburton,2023,9,4,13,.308,1,6,.167,0,0,,0,4,4,10,0,2,2,1
Tyrese Haliburton,2023,14,5,16,.313,3,9,.333,1,2,.500,0,6,6,4,0,2,3,1
Tyrese Haliburton,2023,,,,,,,,,,,,,,,,,,
Tyrese Haliburton,2023,,,,,,,,,,,,,,,,,,
Tyrese Haliburton,2023,26,9,14,.643,5,9,.556,3,3,1.000,0,2,2,15,0,3,3,1
Tyrese Haliburton,2023,23,9,14,.643,3,4,.750,2,2,1.000,1,1,2,11,0,0,1,1
Tyrese Haliburton,2023,35,12,15,.800,7,8,.875,4,4,1.000,0,1,1,9,1,3,5,1
Tyrese Haliburton,2023,1,0,9,.000,0,6,.000,1,1,1.000,0,3,3,6,2,0,2,1
Tyrese Haliburton,2023,29,9,17,.529,5,10,.500,6,7,.857,2,2,4,6,2,1,6,3
Tyrese Haliburton,2023,17,5,13,.385,0,8,.000,7,7,1.000,0,0,0,14,1,3,2,0
Tyrese Haliburton,2023,15,5,16,.313,2,6,.333,3,3,1.000,0,1,1,10,0,0,2,3
Tyrese Haliburton,2023,33,12,24,.500,6,13,.462,3,4,.750,1,2,3,8,0,1,2,0
Tyrese Haliburton,2023,43,14,20,.700,10,16,.625,5,5,1.000,1,1,2,7,1,1,3,1
Tyrese Haliburton,2023,12,4,12,.333,1,5,.200,3,3,1.000,0,1,1,6,1,2,3,1
Tyrese Haliburton,2023,23,9,16,.563,3,8,.375,2,3,.667,1,2,3,7,0,1,1,0
Tyrese Haliburton,2023,29,10,19,.526,6,8,.750,3,3,1.000,0,2,2,9,0,2,1,0
Tyrese Haliburton,2023,24,8,13,.615,2,6,.333,6,7,.857,1,6,7,10,1,4,0,2
Tyrese Haliburton,2023,16,7,15,.467,2,4,.500,0,0,,0,6,6,8,0,2,7,1
Tyrese Haliburton,2023,16,7,14,.500,2,7,.286,0,0,,3,4,7,12,1,2,2,0
Tyrese Haliburton,2023,15,5,15,.333,3,10,.300,2,2,1.000,0,4,4,12,0,1,2,1
Tyrese Haliburton,2023,,,,,,,,,,,,,,,,,,
Tyrese Haliburton,2023,16,4,10,.400,2,6,.333,6,6,1.000,0,5,5,13,0,3,1,3
Tyrese Haliburton,2023,15,6,12,.500,1,5,.200,2,3,.667,0,3,3,7,0,1,4,1
Tyrese Haliburton,2023,,,,,,,,,,,,,,,,,,
Tyrese Haliburton,2023,,,,,,,,,,,,,,,,,,
