Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
Vlade Divac,2001,15,6,8,.750,1,1,1.000,2,2,1.000,3,6,9,1,0,0,1,2
Vlade Divac,2001,12,3,6,.500,0,0,,6,8,.750,0,6,6,4,1,0,3,4
Vlade Divac,2001,15,6,12,.500,0,1,.000,3,5,.600,3,6,9,2,2,1,0,3
Vlade Divac,2001,5,2,6,.333,0,0,,1,2,.500,2,7,9,1,2,2,5,3
Vlade Divac,2001,8,3,7,.429,0,0,,2,6,.333,3,1,4,7,1,0,2,3
Vlade Divac,2001,16,6,12,.500,0,0,,4,6,.667,4,5,9,4,1,1,4,5
Vlade Divac,2001,13,4,11,.364,0,0,,5,7,.714,3,6,9,4,1,2,3,4
Vlade Divac,2001,4,1,4,.250,0,0,,2,2,1.000,0,0,0,1,1,1,2,1
Vlade Divac,2001,34,11,15,.733,0,0,,12,16,.750,4,8,12,6,2,1,4,4
Vlade Divac,2001,13,6,14,.429,0,0,,1,2,.500,5,3,8,1,0,1,2,2
Vlade Divac,2001,12,5,6,.833,0,0,,2,5,.400,2,7,9,4,1,0,3,2
Vlade Divac,2001,6,1,2,.500,0,0,,4,4,1.000,2,5,7,0,4,1,3,4
Vlade Divac,2001,8,4,4,1.000,0,0,,0,0,,1,4,5,2,1,2,1,0
Vlade Divac,2001,18,8,10,.800,0,0,,2,3,.667,3,10,13,2,2,0,3,2
Vlade Divac,2001,14,5,7,.714,1,1,1.000,3,4,.750,3,8,11,4,3,2,2,4
Vlade Divac,2001,12,4,9,.444,0,1,.000,4,4,1.000,3,8,11,7,3,1,6,1
Vlade Divac,2001,9,3,8,.375,0,0,,3,4,.750,1,7,8,4,0,1,2,3
Vlade Divac,2001,10,4,9,.444,0,0,,2,5,.400,4,4,8,5,4,0,1,5
Vlade Divac,2001,7,3,7,.429,0,0,,1,2,.500,5,5,10,2,3,0,3,2
Vlade Divac,2001,9,2,7,.286,0,0,,5,10,.500,2,5,7,4,1,4,3,4
Vlade Divac,2001,,,,,,,,,,,,,,,,,,
Vlade Divac,2001,10,5,11,.455,0,0,,0,0,,4,7,11,3,0,2,3,1
Vlade Divac,2001,8,4,8,.500,0,0,,0,0,,1,5,6,1,0,1,2,3
Vlade Divac,2001,13,5,13,.385,0,0,,3,6,.500,2,8,10,3,0,2,1,3
Vlade Divac,2001,12,6,11,.545,0,0,,0,0,,2,2,4,0,0,1,0,2
Vlade Divac,2001,8,3,8,.375,0,0,,2,4,.500,6,2,8,2,0,1,4,2
Vlade Divac,2001,13,5,9,.556,0,0,,3,3,1.000,2,1,3,3,1,0,1,4
Vlade Divac,2001,2,1,3,.333,0,0,,0,0,,2,3,5,0,0,2,1,6
Vlade Divac,2001,19,8,15,.533,0,0,,3,5,.600,1,7,8,2,0,1,1,2
Vlade Divac,2001,20,10,14,.714,0,0,,0,0,,0,6,6,6,2,1,0,4
Vlade Divac,2001,16,5,9,.556,0,0,,6,8,.750,1,4,5,4,0,1,1,6
Vlade Divac,2001,13,5,21,.238,0,0,,3,3,1.000,8,11,19,4,1,0,1,3
Vlade Divac,2001,27,10,18,.556,0,0,,7,10,.700,2,6,8,4,6,1,4,4
Vlade Divac,2001,25,10,22,.455,0,1,.000,5,5,1.000,1,5,6,3,2,0,4,5
Vlade Divac,2001,23,8,16,.500,1,2,.500,6,7,.857,1,4,5,6,0,2,4,0
Vlade Divac,2001,24,8,19,.421,0,0,,8,9,.889,3,9,12,5,0,2,4,3
Vlade Divac,2001,14,6,14,.429,0,0,,2,2,1.000,2,5,7,4,1,0,1,4
Vlade Divac,2001,12,4,14,.286,0,1,.000,4,6,.667,1,4,5,5,1,0,4,5
Vlade Divac,2001,17,4,8,.500,0,0,,9,16,.563,9,8,17,3,1,2,5,6
Vlade Divac,2001,16,6,10,.600,0,0,,4,6,.667,4,4,8,1,2,2,4,3
Vlade Divac,2001,10,4,5,.800,0,0,,2,4,.500,1,4,5,6,5,0,3,0
Vlade Divac,2001,,,,,,,,,,,,,,,,,,
Vlade Divac,2001,4,2,5,.400,0,0,,0,0,,4,2,6,1,0,0,3,3
Vlade Divac,2001,12,5,9,.556,0,0,,2,3,.667,4,1,5,2,1,0,2,4
